"","NR_Name","NR_ID","sex","generation","father","mother","foster","gestational_diet","nursing_diet","weanling_diet","majority_diet","overall_diet","birth_date","death_date","litter_size","litter_order","notes","rbg100","rbg120","rbg140","rbg200","rbg300"
"1","G11T1259F",1273,"F",11,"T935M","T1046F",NA,"Rod","Rod","Rod","Rod","Rod",2021-04-23,2021-06-22,6,1,NA,NA,NA,NA,NA,NA
"2","G11T1260F",1274,"F",11,"T935M","T1046F",NA,"Rod","Rod","Rod","Rod","Rod",2021-04-23,2021-06-21,6,1,NA,NA,NA,NA,NA,NA
"3","G11T1263M",1277,"M",11,"T1027M","T1056F",NA,"Rod","Rod","Rod","Rod","Rod",2021-04-22,2021-06-22,5,1,NA,NA,NA,NA,NA,NA
"4","G14T1857M",2021,"M",14,"T1314M","T1459F",NA,"Rod","Rod","Rab","Rab","Rab",2022-02-25,2023-05-10,1,2,"Given to Michigan Uni, death date = day it was given",NA,NA,NA,NA,NA
"5","G18T2341F",2405,"F",18,"T2220M","T2253F",NA,"Rod","Rod","","Rab","Rab",2024-10-06,NA,1,1,"confusion readings wk 8 and 12",NA,NA,NA,NA,NA
"6","G2T10F",302,"F",2,"T44M","T19F",NA,"Rab","Rab","Rab","Rab","Rab",2015-09-05,2016-04-16,5,1,NA,NA,NA,NA,NA,NA
"7","G2T11F",303,"F",2,"T44M","T19F",NA,"Rab","Rab","Rab","Rab","Rab",2015-09-05,2016-04-16,5,1,NA,NA,NA,NA,NA,NA
"8","G2T12F",304,"F",2,"T44M","T19F",NA,"Rab","Rab","Rab","Rab","Rab",2015-09-05,2015-12-09,5,1,NA,NA,NA,NA,NA,NA
"9","G2T13M",434,"M",2,"T33M","T40F",NA,"Rod","Rod","Rod","Rod","Rod",2015-10-02,2016-03-16,3,1,"onset at 24wks",16,20,20,20,24
"10","G2T14F",435,"F",2,"T33M","T40F",NA,"Rod","Rod","Rod","Rod","Rod",2015-10-02,2017-04-05,3,1,"onset at 48wks",20,28,28,44,48
"11","G2T15F",436,"F",2,"T33M","T40F",NA,"Rod","Rod","Rod","Rod","Rod",2015-10-02,2016-08-19,3,1,"onset at 32wks",16,28,32,32,32
"12","G2T16F",470,"F",2,"T24M","T38F",NA,"Rod","Rod","Rod","Rod","Rod",2015-10-08,2016-10-19,6,2,"onset at 48wks",24,24,36,36,48
